runs/Si/100_bisp_parent_route_2026-09-05/prof_s/22_F_gn_fixed_rules/driver.rank0.log:1643:    ω<E_F val:pole_tail: n_tau=5, nodes=c04956ec246444b5, cache=hit:rule_79fea2ee4bc151de.npz, box=(0.3263605070646663, 3.01368478209765, 0.01837465441237269, 0.01837465441237269) Ry, sup=6.15987e-05/0.0001 (relative), kappa_max=1.00062, noise=6.00336e-08/5e-06
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1356:    ω≥E_F cond:resonant: n_tau=8, nodes=cea425ad1e257df6, cache=hit:rule_dc4d4199505b65ae.npz, box=(-0.6287274179113976, -0.01029385250449049, 0.01837465441237269, 0.01837465441237269) Ry, sup=8.79332e-06/1e-05 (relative), kappa_max=1.4114, noise=8.46837e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1357:    ω≥E_F cond:state_tail: n_tau=6, nodes=29dea0e4ecce916c, cache=hit:rule_facb773c4d99fb6e.npz, box=(-2.2064445849509178, -0.3169681336449516, 0.01837465441237269, 0.01837465441237269) Ry, sup=6.25944e-06/1e-05 (relative), kappa_max=1.30836, noise=7.85016e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1358:    ω≥E_F cond:pole_tail: n_tau=10, nodes=5f5bc0f7fca33a8e, cache=hit:rule_438f3f8d1233fbbc.npz, box=(-7.855580399811578, -0.06367766247794433, 0.01837465441237269, 0.01837465441237269) Ry, sup=9.06171e-06/1e-05 (relative), kappa_max=1.02309, noise=6.13854e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1359:    ω≥E_F val:bulk: n_tau=9, nodes=5bdef0ef45871743, cache=hit:rule_e7f0205ef58b2a46.npz, box=(0.21608998192306456, 10.841755775702364, 0.01837465441237269, 0.01837465441237269) Ry, sup=8.10489e-06/1e-05 (relative), kappa_max=1.2146, noise=7.2876e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1360:    ω<E_F cond:bulk: n_tau=8, nodes=a0a52b44a8066b6e, cache=hit:rule_d9061f258e1be15a.npz, box=(-8.149630149770077, -0.26753901427770815, 0.01837465441237269, 0.01837465441237269) Ry, sup=9.48186e-06/1e-05 (relative), kappa_max=1.0009, noise=6.00538e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1361:    ω<E_F val:resonant: n_tau=8, nodes=01339adfbee2319c, cache=hit:rule_afe355af3590a3e4.npz, box=(0.010293852504490452, 0.5497923257693176, 0.01837465441237269, 0.01837465441237269) Ry, sup=9.97011e-06/1e-05 (relative), kappa_max=1.44945, noise=8.69669e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1362:    ω<E_F val:state_tail: n_tau=7, nodes=5250da8cede1812f, cache=hit:rule_e750463e955bb49a.npz, box=(0.19789439321213978, 4.823543607392326, 0.01837465441237269, 0.01837465441237269) Ry, sup=8.30684e-06/1e-05 (relative), kappa_max=1.00245, noise=6.01469e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/43_P_dynamic_fixed_rules/driver.rank0.log:1363:    ω<E_F val:pole_tail: n_tau=11, nodes=bebf917d71d03406, cache=hit:rule_68eb4b1b8a38dba3.npz, box=(0.06367766247794429, 10.471267463388392, 0.01837465441237269, 0.01837465441237269) Ry, sup=5.95777e-06/1e-05 (relative), kappa_max=1.03911, noise=6.23465e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1413:    ω≥E_F cond:resonant: n_tau=8, nodes=cea425ad1e257df6, cache=hit:rule_dc4d4199505b65ae.npz, box=(-0.6287274162239215, -0.010293853275745156, 0.01837465441237269, 0.01837465441237269) Ry, sup=8.79332e-06/1e-05 (relative), kappa_max=1.4114, noise=8.46837e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1414:    ω≥E_F cond:state_tail: n_tau=6, nodes=29dea0e4ecce916c, cache=hit:rule_facb773c4d99fb6e.npz, box=(-2.206444583263442, -0.31696813480143543, 0.01837465441237269, 0.01837465441237269) Ry, sup=6.25944e-06/1e-05 (relative), kappa_max=1.30836, noise=7.85016e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1415:    ω≥E_F cond:pole_tail: n_tau=10, nodes=5f5bc0f7fca33a8e, cache=hit:rule_438f3f8d1233fbbc.npz, box=(-7.855580400367099, -0.06367766006586106, 0.01837465441237269, 0.01837465441237269) Ry, sup=9.06171e-06/1e-05 (relative), kappa_max=1.02309, noise=6.13854e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1416:    ω≥E_F val:bulk: n_tau=9, nodes=5bdef0ef45871743, cache=hit:rule_e7f0205ef58b2a46.npz, box=(0.21608998269431917, 10.841755776166934, 0.01837465441237269, 0.01837465441237269) Ry, sup=8.10489e-06/1e-05 (relative), kappa_max=1.2146, noise=7.2876e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1417:    ω<E_F cond:bulk: n_tau=8, nodes=a0a52b44a8066b6e, cache=hit:rule_d9061f258e1be15a.npz, box=(-8.149630150234648, -0.26753901504896277, 0.01837465441237269, 0.01837465441237269) Ry, sup=9.48186e-06/1e-05 (relative), kappa_max=1.0009, noise=6.00538e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1418:    ω<E_F val:resonant: n_tau=8, nodes=01339adfbee2319c, cache=hit:rule_afe355af3590a3e4.npz, box=(0.010293853275745078, 0.5497923240818414, 0.01837465441237269, 0.01837465441237269) Ry, sup=9.97011e-06/1e-05 (relative), kappa_max=1.44945, noise=8.69669e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1419:    ω<E_F val:state_tail: n_tau=7, nodes=5250da8cede1812f, cache=hit:rule_e750463e955bb49a.npz, box=(0.1978943939833944, 4.82354360570485, 0.01837465441237269, 0.01837465441237269) Ry, sup=8.30684e-06/1e-05 (relative), kappa_max=1.00245, noise=6.01469e-08/5e-07
runs/MoS2/41_bisp_parent_route_2026-09-05/prof_s/44_F_dynamic_fixed_rules/driver.rank0.log:1420:    ω<E_F val:pole_tail: n_tau=11, nodes=bebf917d71d03406, cache=hit:rule_68eb4b1b8a38dba3.npz, box=(0.06367766006586102, 10.471267463943915, 0.01837465441237269, 0.01837465441237269) Ry, sup=5.95777e-06/1e-05 (relative), kappa_max=1.03911, noise=6.23465e-08/5e-07
