
k-point 0:
----------------------------------------
n=0        -14.804471 +        0.000000i
n=1        -14.726562 +        0.000000i
n=2        -14.726566 +       -0.000000i
n=3        -14.241637 +       -0.000000i
n=4        -14.241631 +        0.000000i
n=5         -9.141551 +       -0.000000i
n=6         -9.141551 +        0.000000i
n=7         -9.066684 +       -0.000000i
n=8         -9.066697 +        0.000000i
n=9         -8.880898 +        0.000000i

k-point 1:
----------------------------------------
n=0        -13.222989 +        0.000000i
n=1        -14.453745 +        0.000000i
n=2        -14.454729 +       -0.000000i
n=3        -14.311330 +        0.000000i
n=4        -14.307505 +       -0.000000i
n=5         -9.868415 +        0.000000i
n=6         -9.840369 +        0.000000i
n=7         -9.542821 +        0.000000i
n=8         -9.564061 +        0.000000i
n=9         -9.155338 +        0.000000i

k-point 2:
----------------------------------------
n=0        -13.224438 +        0.000000i
n=1        -14.453622 +       -0.000000i
n=2        -14.455019 +       -0.000000i
n=3        -14.311232 +        0.000000i
n=4        -14.307582 +        0.000000i
n=5         -9.854287 +       -0.000000i
n=6         -9.854541 +        0.000000i
n=7         -9.569615 +       -0.000000i
n=8         -9.537296 +        0.000000i
n=9         -9.155593 +        0.000000i

k-point 3:
----------------------------------------
n=0        -13.264501 +       -0.000000i
n=1        -14.287290 +       -0.000000i
n=2        -14.282003 +       -0.000000i
n=3        -14.390919 +        0.000000i
n=4        -14.405936 +        0.000000i
n=5         -9.794119 +       -0.000000i
n=6         -9.793854 +        0.000000i
n=7         -9.469065 +        0.000000i
n=8         -9.501083 +       -0.000000i
n=9         -9.172741 +        0.000000i

k-point 4:
----------------------------------------
n=0        -12.640530 +        0.000000i
n=1        -14.120425 +        0.000000i
n=2        -14.071109 +        0.000000i
n=3        -15.177077 +        0.000000i
n=4        -14.965958 +        0.000000i
n=5        -10.363068 +        0.000000i
n=6        -10.348660 +        0.000000i
n=7         -8.715685 +        0.000000i
n=8         -8.712198 +       -0.000000i
n=9        -10.276042 +        0.000000i

k-point 5:
----------------------------------------
n=0        -13.310076 +       -0.000000i
n=1        -14.115095 +       -0.000000i
n=2        -14.117632 +       -0.000000i
n=3        -14.356747 +       -0.000000i
n=4        -14.345709 +        0.000000i
n=5         -9.873335 +        0.000000i
n=6         -9.877962 +        0.000000i
n=7         -9.589102 +       -0.000000i
n=8         -9.584814 +        0.000000i
n=9         -9.152264 +        0.000000i

k-point 6:
----------------------------------------
n=0        -13.266598 +       -0.000000i
n=1        -14.286696 +        0.000000i
n=2        -14.282954 +        0.000000i
n=3        -14.390392 +       -0.000000i
n=4        -14.406491 +       -0.000000i
n=5         -9.779476 +        0.000000i
n=6         -9.808505 +        0.000000i
n=7         -9.495612 +       -0.000000i
n=8         -9.474588 +       -0.000000i
n=9         -9.173862 +       -0.000000i

k-point 7:
----------------------------------------
n=0        -13.310820 +       -0.000000i
n=1        -14.114686 +       -0.000000i
n=2        -14.118249 +        0.000000i
n=3        -14.356325 +       -0.000000i
n=4        -14.346186 +        0.000000i
n=5         -9.875632 +        0.000000i
n=6         -9.875598 +        0.000000i
n=7         -9.583750 +        0.000000i
n=8         -9.590189 +       -0.000000i
n=9         -9.153038 +       -0.000000i

k-point 8:
----------------------------------------
n=0        -12.640521 +        0.000000i
n=1        -14.120427 +       -0.000000i
n=2        -14.071090 +       -0.000000i
n=3        -15.177090 +        0.000000i
n=4        -14.965949 +        0.000000i
n=5        -10.363057 +        0.000000i
n=6        -10.348625 +       -0.000000i
n=7         -8.715721 +       -0.000000i
n=8         -8.712233 +       -0.000000i
n=9        -10.276016 +       -0.000000i
