
k-point 0:
----------------------------------------
n=0         -6.142216 +        0.000000i
n=1         -6.145566 +        0.000000i
n=2         -6.243806 +        0.000000i
n=3         -5.074313 +       -0.000000i
n=4         -5.074069 +       -0.000000i
n=5         -5.728960 +        0.000000i
n=6         -5.730444 +        0.000000i
n=7         -5.524330 +       -0.000000i
n=8         -5.577209 +        0.000000i
n=9         -5.278708 +        0.000000i

k-point 1:
----------------------------------------
n=0         -4.915121 +       -0.000000i
n=1         -5.364263 +       -0.000000i
n=2         -5.371202 +       -0.000000i
n=3         -4.782439 +       -0.000000i
n=4         -4.787036 +       -0.000000i
n=5         -4.929376 +        0.000000i
n=6         -4.857316 +        0.000000i
n=7         -5.623452 +        0.000000i
n=8         -5.568085 +        0.000000i
n=9         -4.877404 +       -0.000000i

k-point 2:
----------------------------------------
n=0         -4.854713 +       -0.000000i
n=1         -5.364281 +       -0.000000i
n=2         -5.356154 +       -0.000000i
n=3         -4.709522 +        0.000000i
n=4         -4.712774 +        0.000000i
n=5         -4.964304 +       -0.000000i
n=6         -4.940553 +       -0.000000i
n=7         -5.550454 +       -0.000000i
n=8         -5.669821 +        0.000000i
n=9         -4.940574 +        0.000000i

k-point 3:
----------------------------------------
n=0         -4.775110 +        0.000000i
n=1         -5.257370 +        0.000000i
n=2         -5.256648 +        0.000000i
n=3         -4.536289 +       -0.000000i
n=4         -4.523112 +       -0.000000i
n=5         -5.149095 +       -0.000000i
n=6         -5.237532 +        0.000000i
n=7         -5.787689 +        0.000000i
n=8         -5.294914 +        0.000000i
n=9         -5.177161 +        0.000000i

k-point 4:
----------------------------------------
n=0         -4.573437 +        0.000000i
n=1         -5.375807 +       -0.000000i
n=2         -5.365102 +       -0.000000i
n=3         -5.190430 +        0.000000i
n=4         -5.153802 +        0.000000i
n=5         -5.073253 +       -0.000000i
n=6         -5.072335 +        0.000000i
n=7         -5.022852 +        0.000000i
n=8         -5.033956 +        0.000000i
n=9         -5.847921 +       -0.000000i

k-point 5:
----------------------------------------
n=0         -4.784846 +       -0.000000i
n=1         -5.078098 +        0.000000i
n=2         -5.068108 +        0.000000i
n=3         -4.654246 +        0.000000i
n=4         -4.651408 +       -0.000000i
n=5         -5.287345 +        0.000000i
n=6         -5.175102 +        0.000000i
n=7         -5.165689 +       -0.000000i
n=8         -5.081913 +       -0.000000i
n=9         -5.015886 +       -0.000000i

k-point 6:
----------------------------------------
n=0         -4.741654 +       -0.000000i
n=1         -5.234610 +        0.000000i
n=2         -5.248893 +        0.000000i
n=3         -4.570944 +       -0.000000i
n=4         -4.593041 +       -0.000000i
n=5         -5.137342 +       -0.000000i
n=6         -5.202668 +       -0.000000i
n=7         -5.503974 +       -0.000000i
n=8         -5.557162 +        0.000000i
n=9         -5.282620 +        0.000000i

k-point 7:
----------------------------------------
n=0         -4.776876 +       -0.000000i
n=1         -5.067387 +        0.000000i
n=2         -5.079485 +        0.000000i
n=3         -4.803830 +        0.000000i
n=4         -4.803031 +        0.000000i
n=5         -5.147201 +       -0.000000i
n=6         -5.167917 +       -0.000000i
n=7         -5.075895 +       -0.000000i
n=8         -5.101538 +       -0.000000i
n=9         -4.975136 +       -0.000000i

k-point 8:
----------------------------------------
n=0         -4.618110 +        0.000000i
n=1         -5.383562 +       -0.000000i
n=2         -5.372647 +       -0.000000i
n=3         -5.386004 +        0.000000i
n=4         -5.341142 +        0.000000i
n=5         -5.085081 +        0.000000i
n=6         -5.083374 +        0.000000i
n=7         -5.048085 +        0.000000i
n=8         -5.059189 +        0.000000i
n=9         -5.613803 +       -0.000000i
