Step, Max_Movement
0, 0.13996630907058716
1, 0.06902814656496048
2, 0.035436127334833145
3, 0.03296312317252159
4, 0.027313191443681717
5, 0.02135457843542099
6, 0.024315765127539635
7, 0.014869216829538345
8, 0.013094729743897915
9, 0.01343886461108923
10, 0.00896749272942543
11, 0.017186827957630157
12, 0.012626437470316887
13, 0.007971106097102165
14, 0.004994469694793224
