Step, Max_Movement
0, 0.16036972403526306
1, 0.06334882229566574
2, 0.04024447128176689
3, 0.02662782557308674
4, 0.02346206270158291
5, 0.02262316644191742
6, 0.02974867820739746
7, 0.02922837994992733
8, 0.019772514700889587
9, 0.02310154028236866
10, 0.009585782885551453
11, 0.011696175672113895
12, 0.007825488224625587
13, 0.013636411167681217
14, 0.0067950524389743805
15, 0.008025333285331726
16, 0.007091643288731575
17, 0.0062108165584504604
18, 0.007354789413511753
19, 0.011309509165585041
20, 0.006244217976927757
21, 0.006818563211709261
22, 0.0052399225533008575
23, 0.007040133699774742
24, 0.007466595619916916
25, 0.006612385623157024
26, 0.007277477066963911
27, 0.013701221905648708
28, 0.01144186407327652
29, 0.013941498473286629
30, 0.010026071220636368
31, 0.008078436367213726
32, 0.01072353683412075
33, 0.017127538099884987
34, 0.012152737006545067
35, 0.011217168532311916
36, 0.009406676515936852
37, 0.009971266612410545
38, 0.008108403533697128
39, 0.007123628631234169
40, 0.007002897560596466
41, 0.012131462804973125
42, 0.008784836158156395
43, 0.006279339548200369
44, 0.006054634228348732
45, 0.005509420298039913
46, 0.005458545405417681
47, 0.00418119877576828
