# Generated by LORRAX 0.1.0 at 2026-09-06 10:39:55 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# metadata photon_head_basis=dft
# metadata photon_head_sector_convention=final_post_dyson_lorentz_blocks
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	Hdir            	x_bare          	head_CC.Re      	head_CC.Im      	head_CTTC.Re    	head_CTTC.Im    	head_TT.Re      	head_TT.Im      	head_total.Re   	head_total.Im   	x_head_CC.Re    	x_head_CC.Im    	x_head_CTTC.Re  	x_head_CTTC.Im  	x_head_TT.Re    	x_head_TT.Im    	x_head_total.Re 	x_head_total.Im 	sex_head_CC.Re  	sex_head_CC.Im  	sex_head_CTTC.Re	sex_head_CTTC.Im	sex_head_TT.Re  	sex_head_TT.Im  	sex_head_total.Re	sex_head_total.Im	coh_head_CC.Re  	coh_head_CC.Im  	coh_head_CTTC.Re	coh_head_CTTC.Im	coh_head_TT.Re  	coh_head_TT.Im  	coh_head_total.Re	coh_head_total.Im	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
# kcrys     0.000000000    0.000000000    0.000000000
               0	               0	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    +1477.662472	     -531.071026	       -0.000000	       +0.000513	       -0.000000	    +2008.883546	       -0.000000	    +1477.813033	       -0.000000	     -531.135095	       -0.000000	       +0.000000	       +0.000000	    +2008.797566	       -0.000000	    +1477.662472	       -0.000000	     -530.819871	       -0.000000	       -0.001579	       +0.000000	    +2008.602411	       -0.000000	    +1477.780961	       -0.000000	       -0.251155	       +0.000000	       +0.002091	       -0.000000	       +0.281135	       -0.000000	       +0.032071	       -0.000000	    +1026.793099	     +377.719012	    +1404.512110	    +1404.512110
               0	               1	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -1262.263089	    -1939.376865	       -0.000000	       -0.001545	       -0.000000	     +677.498277	       -0.000000	    -1261.880133	       -0.000000	    -1939.804008	       -0.000000	       +0.000000	       +0.000000	     +677.540919	       -0.000000	    -1262.263089	       -0.000000	    -1938.646618	       -0.000000	       +0.001546	       -0.000000	     +677.346693	       -0.000000	    -1261.298379	       -0.000000	       -0.730247	       +0.000000	       -0.003091	       +0.000000	       +0.151584	       -0.000000	       -0.581754	       -0.000000	    -1699.002539	     +349.553756	    -1349.448783	    -1349.448783
               0	               2	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     -343.515492	     -752.988406	       +0.000000	       -0.002909	       -0.000000	     +409.041059	       +0.000000	     -343.950256	       +0.000000	     -752.568495	       -0.000000	       +0.000000	       +0.000000	     +409.053003	       +0.000000	     -343.515492	       +0.000000	     -752.119420	       +0.000000	       -0.005756	       -0.000000	     +408.926606	       +0.000000	     -343.198570	       +0.000000	       -0.868986	       +0.000000	       +0.002847	       -0.000000	       +0.114453	       -0.000000	       -0.751686	       -0.000000	     -636.941091	     +320.111663	     -316.829428	     -316.829428
               0	               3	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    +1988.569852	      -69.783620	       -0.000000	       +0.002830	       +0.000000	    +2058.355946	       -0.000000	    +1988.575156	       -0.000000	      -69.764411	       -0.000000	       +0.000000	       +0.000000	    +2058.334263	       +0.000000	    +1988.569852	       +0.000000	      -69.723295	       -0.000000	       +0.001293	       +0.000000	    +2057.984602	       -0.000000	    +1988.262600	       -0.000000	       -0.060324	       -0.000000	       +0.001537	       +0.000000	       +0.371344	       -0.000000	       +0.312556	       -0.000000	    +1715.052244	     +390.004488	    +2105.056732	    +2105.056732

k-point 1:
# kcrys     0.500000000    0.000000000    0.000000000
               1	               0	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	    -1639.405520	    -2143.630679	       -0.000000	       -0.001998	       -0.000000	     +504.799181	       -0.000000	    -1638.833495	       -0.000000	    -2144.208017	       -0.000000	       +0.000000	       +0.000000	     +504.802496	       +0.000000	    -1639.405520	       +0.000000	    -2142.926948	       -0.000000	       -0.001328	       -0.000000	     +504.626317	       -0.000000	    -1638.301958	       -0.000000	       -0.703731	       +0.000000	       -0.000670	       +0.000000	       +0.172863	       -0.000000	       -0.531537	       -0.000000	    -2029.691520	     +278.556439	    -1751.135082	    -1751.135082
               1	               1	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     -560.434702	     -983.811180	       +0.000000	       +0.000073	       -0.000000	     +423.663986	       -0.000000	     -560.147120	       +0.000000	     -984.041327	       +0.000000	       +0.000000	       +0.000000	     +423.606625	       -0.000000	     -560.434702	       +0.000000	     -983.455245	       +0.000000	       +0.000457	       -0.000000	     +423.459926	       -0.000000	     -559.994862	       +0.000000	       -0.355935	       +0.000000	       -0.000383	       +0.000000	       +0.204060	       -0.000000	       -0.152258	       -0.000000	    -1058.964310	     +398.262295	     -660.702015	     -660.702015
               1	               2	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     +596.460410	     -195.138909	       +0.000000	       -0.012348	       -0.000000	     +791.631794	       +0.000000	     +596.480536	       +0.000000	     -195.166361	       -0.000000	       +0.000000	       +0.000000	     +791.626771	       +0.000000	     +596.460410	       +0.000000	     -195.049896	       +0.000000	       -0.000953	       -0.000000	     +791.373301	       +0.000000	     +596.322451	       +0.000000	       -0.089013	       +0.000000	       -0.011395	       +0.000000	       +0.258493	       +0.000000	       +0.158085	       +0.000000	     +419.603452	     +240.851241	     +660.454693	     +660.454693
               1	               3	       +0.000000	       +0.000000	       +0.000000	       +0.000000	       +0.000000	     +981.699278	     -228.992019	       -0.000000	       +0.009601	       -0.000000	    +1210.667721	       -0.000000	     +981.685303	       -0.000000	     -228.855797	       -0.000000	       +0.000000	       +0.000000	    +1210.555075	       -0.000000	     +981.699278	       -0.000000	     -228.720080	       -0.000000	       +0.000306	       -0.000000	    +1210.377575	       -0.000000	     +981.657801	       -0.000000	       -0.271939	       -0.000000	       +0.009294	       -0.000000	       +0.290146	       -0.000000	       +0.027502	       -0.000000	     +693.730753	     +420.065672	    +1113.796425	    +1113.796425
