57982945|lx-alloc-jackm-BISP-accept|2026-09-06T09:59:03|Unknown|nid[001064-001065,001068,001128]|billing=512,cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|RUNNING
57982945.26|lx-Xg4-103340-2214277-4646|2026-09-06T10:33:43|2026-09-06T10:35:05|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.27|lx-Xg0-103521-2222772-5631|2026-09-06T10:35:23|2026-09-06T10:35:25|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.28|lx-Xg0-103752-2236803-8991|2026-09-06T10:37:52|2026-09-06T10:38:26|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.29|lx-Xg4-103931-2244268-1146|2026-09-06T10:39:32|2026-09-06T10:40:54|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.30|lx-Xg4-103940-2244984-6922|2026-09-06T10:39:40|2026-09-06T10:40:43|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.31|lx-Xg4-104123-2254783-6115|2026-09-06T10:41:23|2026-09-06T10:41:35|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.32|lx-Xg4-104200-2257345-4108|2026-09-06T10:42:00|2026-09-06T10:42:08|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.33|lx-Xg0-104208-2258066-2955|2026-09-06T10:42:10|2026-09-06T10:42:16|nid001065|cpu=128,mem=229802M,node=1|FAILED
57982945.34|lx-Xg4-104246-2262467-3567|2026-09-06T10:42:47|2026-09-06T10:43:09|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.35|lx-Xg4-104327-2266291-3073|2026-09-06T10:43:32|2026-09-06T10:43:56|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.36|lx-Xg4-104538-2277937-9816|2026-09-06T10:45:40|2026-09-06T10:47:16|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|COMPLETED
57982945.37|lx-Xg4-104720-2286017-2514|2026-09-06T10:47:22|2026-09-06T10:48:18|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|COMPLETED
57982945.38|lx-Xg4-104819-2289802-6418|2026-09-06T10:48:19|2026-09-06T10:49:17|nid[001064-001065,001068,001128]|cpu=512,gres/gpu:a100=16,gres/gpu=16,mem=919208M,node=4|COMPLETED
57982945.39|lx-Xg4-104945-2298090-2698|2026-09-06T10:49:45|2026-09-06T10:50:07|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.40|lx-Xg4-104950-2298718-4591|2026-09-06T10:49:53|2026-09-06T10:53:20|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.41|lx-Xg4-104953-2298787-6261|2026-09-06T10:49:55|2026-09-06T10:53:26|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.42|lx-Xg4-104953-2298872-2124|2026-09-06T10:49:55|2026-09-06T10:50:51|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.43|lx-Xg4-105008-2299835-1802|2026-09-06T10:50:08|2026-09-06T10:50:23|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.44|lx-Xg4-105024-2301961-9027|2026-09-06T10:50:24|2026-09-06T10:50:30|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.45|lx-Xg0-105033-2302113-3374|2026-09-06T10:50:37|2026-09-06T10:50:39|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.46|lx-Xg4-105132-2312896-3892|2026-09-06T10:51:34|2026-09-06T10:52:38|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.47|lx-Xg0-105221-2323221-5748|2026-09-06T10:52:23|2026-09-06T10:52:25|nid001128|cpu=128,mem=229802M,node=1|FAILED
57982945.48|lx-Xg4-105322-2327180-5411|2026-09-06T10:53:23|2026-09-06T10:55:08|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.49|lx-Xg4-105324-2327372-9525|2026-09-06T10:53:24|2026-09-06T10:53:33|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED
57982945.50|lx-Xg4-105423-2331309-4698|2026-09-06T10:54:25|2026-09-06T10:55:59|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.51|lx-Xg0-105515-2335369-7517|2026-09-06T10:55:15|2026-09-06T10:55:44|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.52|lx-Xg0-105531-2338063-1797|2026-09-06T10:55:31|2026-09-06T10:59:41|nid001064|cpu=128,mem=229802M,node=1|FAILED
57982945.53|lx-Xg4-105531-2338176-1161|2026-09-06T10:55:31|2026-09-06T10:58:00|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.54|lx-Xg4-105553-2340157-2872|2026-09-06T10:55:57|2026-09-06T10:57:08|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.55|lx-Xg1-105553-2340347-2190|2026-09-06T10:55:57|2026-09-06T10:56:08|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.56|lx-Xg4-105616-2342006-3556|2026-09-06T10:56:19|2026-09-06T10:58:36|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.57|lx-Xg4-105616-2342005-1256|2026-09-06T10:56:19|2026-09-06T10:57:45|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.58|lx-Xg4-105913-2356430-4328|2026-09-06T10:59:16|2026-09-06T11:03:41|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.59|lx-Xg4-110000-2359242-4220|2026-09-06T11:00:02|2026-09-06T11:01:11|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.60|lx-Xg4-110037-4969-4691|2026-09-06T11:00:37|2026-09-06T11:00:46|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.61|lx-Xg0-110201-12195-9862|2026-09-06T11:02:01|2026-09-06T11:02:43|nid001065|cpu=128,mem=229802M,node=1|FAILED
57982945.62|lx-Xg4-110202-12372-9435|2026-09-06T11:02:02|2026-09-06T11:02:17|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.63|lx-Xg1-110225-13849-8667|2026-09-06T11:02:29|2026-09-06T11:02:38|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.64|lx-Xg4-110247-15495-5512|2026-09-06T11:02:50|2026-09-06T11:05:06|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED
57982945.65|lx-Xg4-110252-15940-5897|2026-09-06T11:02:55|2026-09-06T11:04:15|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.66|lx-Xg1-110323-19317-8235|2026-09-06T11:03:25|2026-09-06T11:08:50|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED by 0
57982945.67|lx-Xg0-110325-19503-4655|2026-09-06T11:03:27|2026-09-06T11:03:31|nid001128|cpu=128,mem=229802M,node=1|COMPLETED
57982945.68|lx-Xg0-110511-28683-7222|2026-09-06T11:05:13|2026-09-06T11:05:36|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.69|lx-Xg4-110524-30419-9275|2026-09-06T11:05:24|2026-09-06T11:07:25|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED
57982945.70|lx-Xg4-110524-30421-1513|2026-09-06T11:05:24|2026-09-06T11:08:23|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.71|lx-Xg1-110706-39269-3089|2026-09-06T11:07:08|2026-09-06T11:07:22|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.72|lx-Xg0-110739-42095-8833|2026-09-06T11:07:39|2026-09-06T11:07:44|nid001065|cpu=128,mem=229802M,node=1|COMPLETED
57982945.73|lx-Xg4-110752-42766-3793|2026-09-06T11:07:55|2026-09-06T11:11:18|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.74|lx-Xg1-110822-44348-1733|2026-09-06T11:08:24|2026-09-06T11:08:32|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.75|lx-Xg0-111039-56740-9512|2026-09-06T11:10:39|2026-09-06T11:11:22|nid001064|cpu=128,mem=229802M,node=1|COMPLETED
57982945.76|lx-Xg1-111040-56918-5036|2026-09-06T11:10:41|2026-09-06T11:10:58|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.77|lx-Xg1-111100-58006-7393|2026-09-06T11:11:00|2026-09-06T11:19:39|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.78|lx-Xg4-111247-65173-2624|2026-09-06T11:12:47|2026-09-06T11:16:10|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.79|lx-Xg4-111319-67784-8435|2026-09-06T11:13:22|2026-09-06T11:14:46|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|FAILED
57982945.80|lx-Xg4-111319-67786-1337|2026-09-06T11:13:22|2026-09-06T11:14:58|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED
57982945.81|lx-Xg0-111355-70325-5235|2026-09-06T11:13:57|2026-09-06T11:14:00|nid001128|cpu=128,mem=229802M,node=1|COMPLETED
57982945.82|lx-Xg0-111410-71213-9738|2026-09-06T11:14:11|2026-09-06T11:14:14|nid001128|cpu=128,mem=229802M,node=1|FAILED
57982945.83|lx-Xg4-111447-73654-5971|2026-09-06T11:14:48|2026-09-06T11:15:03|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|CANCELLED
57982945.84|lx-Xg0-111503-74435-7595|2026-09-06T11:15:06|2026-09-06T11:15:08|nid001068|cpu=128,mem=229802M,node=1|COMPLETED
57982945.85|lx-Xg0-111521-76336-1287|2026-09-06T11:15:23|2026-09-06T11:15:28|nid001068|cpu=128,mem=229802M,node=1|COMPLETED
57982945.86|lx-Xg0-111605-80067-1949|2026-09-06T11:16:06|2026-09-06T11:16:28|nid001068|cpu=128,mem=229802M,node=1|COMPLETED
57982945.87|lx-Xg0-111617-81172-5987|2026-09-06T11:16:17|2026-09-06T11:16:25|nid001065|cpu=128,mem=229802M,node=1|COMPLETED
57982945.88|lx-Xg4-111756-86297-4141|2026-09-06T11:17:56|2026-09-06T11:18:38|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.89|lx-Xg4-111804-86992-5989|2026-09-06T11:18:06|2026-09-06T11:19:02|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.90|lx-Xg4-111813-87815-7183|2026-09-06T11:18:13|2026-09-06T11:20:35|nid001128|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.91|lx-Xg0-111823-88565-5160|2026-09-06T11:18:27|2026-09-06T11:22:37|nid001064|cpu=128,mem=229802M,node=1|FAILED
57982945.92|lx-Xg4-111841-89723-6505|2026-09-06T11:18:43|2026-09-06T11:20:30|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.93|lx-Xg4-111841-89725-4618|2026-09-06T11:18:43|2026-09-06T11:20:41|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.94|lx-Xg4-111841-90300-7414|2026-09-06T11:18:43|2026-09-06T11:19:51|nid001065|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.95|lx-Xg4-111905-92881-6612|2026-09-06T11:19:07|2026-09-06T11:20:02|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.96|lx-Xg4-111941-95871-9092|2026-09-06T11:19:41|2026-09-06T11:22:37|nid001064|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.97|lx-Xg4-112003-99105-3653|2026-09-06T11:20:03|2026-09-06T11:22:05|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
57982945.98|lx-Xg4-112003-88704-3175|2026-09-06T11:20:05|2026-09-06T11:22:40|nid001068|cpu=128,gres/gpu:a100=4,gres/gpu=4,mem=229802M,node=1|COMPLETED
