n=13  sigX=  -17.750393              sigC=    3.663160+  0.031468i  sigXC=  -14.087233+  0.031468i  sigCC=  -14.088151+  0.031468i  sigTT=    0.000918              sigCT=   -0.000000              Hdir=  394.345809              Eo=  -10.873804  Z=    1.000000  Z_status=OK
n=14  sigX=  -18.808792              sigC=    3.286340+  0.025546i  sigXC=  -15.522453+  0.025546i  sigCC=  -15.523975+  0.025546i  sigTT=    0.001522              sigCT=   -0.000000              Hdir=  494.351230              Eo=   -7.815687  Z=    0.747247  Z_status=OK
n=15  sigX=  -18.808792              sigC=    3.286340+  0.025546i  sigXC=  -15.522453+  0.025546i  sigCC=  -15.523975+  0.025546i  sigTT=    0.001522              sigCT=   -0.000000              Hdir=  494.351230              Eo=   -7.815687  Z=    0.747247  Z_status=OK
n=16  sigX=  -18.649757              sigC=    3.234285+  0.025195i  sigXC=  -15.415472+  0.025195i  sigCC=  -15.416991+  0.025195i  sigTT=    0.001519              sigCT=   -0.000000              Hdir=  489.440920              Eo=   -7.759832  Z=    0.747589  Z_status=OK
n=17  sigX=  -18.649757              sigC=    3.234285+  0.025195i  sigXC=  -15.415472+  0.025195i  sigCC=  -15.416991+  0.025195i  sigTT=    0.001519              sigCT=   -0.000000              Hdir=  489.440920              Eo=   -7.759832  Z=    0.747589  Z_status=OK
n=18  sigX=  -16.583267              sigC=    3.227144+  0.024836i  sigXC=  -13.356122+  0.024836i  sigCC=  -13.356643+  0.024836i  sigTT=    0.000521              sigCT=    0.000000              Hdir=  301.271681              Eo=   -7.145302  Z=    0.756668  Z_status=OK
n=19  sigX=  -16.583267              sigC=    3.227144+  0.024836i  sigXC=  -13.356122+  0.024836i  sigCC=  -13.356643+  0.024836i  sigTT=    0.000521              sigCT=    0.000000              Hdir=  301.271681              Eo=   -7.145302  Z=    0.756668  Z_status=OK
n=20  sigX=  -18.870509              sigC=    2.585830+  0.015465i  sigXC=  -16.284679+  0.015465i  sigCC=  -16.286356+  0.015465i  sigTT=    0.001677              sigCT=    0.000000              Hdir=  461.076667              Eo=   -6.779845  Z=    0.754952  Z_status=OK
n=21  sigX=  -18.870509              sigC=    2.585830+  0.015465i  sigXC=  -16.284679+  0.015465i  sigCC=  -16.286356+  0.015465i  sigTT=    0.001677              sigCT=    0.000000              Hdir=  461.076667              Eo=   -6.779845  Z=    0.754952  Z_status=OK
n=22  sigX=  -18.760291              sigC=    2.525411+  0.014859i  sigXC=  -16.234880+  0.014859i  sigCC=  -16.236375+  0.014859i  sigTT=    0.001495              sigCT=    0.000000              Hdir=  460.627618              Eo=   -6.699151  Z=    0.755320  Z_status=OK
n=23  sigX=  -18.760291              sigC=    2.525411+  0.014859i  sigXC=  -16.234880+  0.014859i  sigCC=  -16.236375+  0.014859i  sigTT=    0.001495              sigCT=    0.000000              Hdir=  460.627618              Eo=   -6.699151  Z=    0.755320  Z_status=OK
